"COD_ACC","COD_ENTE","DES_ACC","FLG_BONUS_MALUS_ANNUALE","FLG_RATEIZZAZIONE","DAT_INI","DAT_FIN","FLG_SOSP","COD_SPESE","FLG_ACC_BR"
"0130","0039","DANFOSS POWER SOLUTIONS","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0131","0040","DANFOSS POWER SOLUTIONS 2","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0133","0060","STEDAN SRL 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0134","0059","STUDIO DIANA SRL 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0217","0016","FONDO TUTELA 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0114","0065","ACCURACY 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0116","0008","GLOBAL SAFE IMPIEGATI","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0118","0010","PREVILINE IMPIEGATI 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0119","0007","US 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0120","0009","MUTUA MED IMPIEGATI 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0122","0047","NATISSA SGR 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0123","0056","JDS RE HOLDING 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0144","0042","C.A.S.S.A. DENTONS 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
"0029","0026","PROFESSIONAL VALUES","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0060","0056","JDS RE HOLDING","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0173","0073","OPBG 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0174","0017","DIOR 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0218","0035","MITUTELA 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0019","0016","FONDO TUTELA 2023","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0039","0036","DANFOSS SRL","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0045","0041","DANFOSS DISTRIB. SERVICES","N","A","2023-01-01 00:00:00.0","2023-12-31 00:00:00.0","D","Z","N"
"0184","0012","Q8 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0208","0051","MMB SRL 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0210","0055","J INVEST 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0213","0058","CAMINADA THINK PLASTIC","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0214","0056","JDS RE HOLDING 2025","N","A","2025-01-01 00:00:00.0","2025-12-31 00:00:00.0","D","Z","N"
"0066","0062","DCH","N","A","2023-04-01 00:00:00.0","2024-03-31 00:00:00.0","D","Z","N"
"0088","0035","MITUTELA 2024","N","A","2024-01-01 00:00:00.0","2024-12-31 00:00:00.0","D","Z","N"
