"IDFATTURA","ANNO_PRA","NUM_PRA","PRG_VOCE"
"1366","2024","00000304","2"
"233","2024","00000919","1"
"121","2024","00000489","1"
"120","2024","00000487","1"
"393","2024","00001438","4"
"1366","2024","00000304","3"
"895","2024","00002632","1"
"923","2024","00002710","1"
"3372","2024","00008277","1"
"1048","2024","00003014","1"
"936","2024","00002746","1"
"298","2024","00001158","1"
"896","2024","00002642","1"
"896","2024","00002642","2"
"1181","2024","00001976","1"
"713","2024","00002230","1"
"1366","2024","00000304","4"
"832","2024","00001986","2"
"600","2024","00001480","1"
"1190","2024","00001980","1"
"1366","2024","00000304","5"
"398","2024","00001448","1"
"525","2024","00001759","1"
"653","2024","00000362","1"
"3389","2024","00008327","1"
"3387","2024","00008323","1"
"3379","2024","00008299","1"
"740","2024","00001497","1"
"1023","2024","00000439","1"
"1023","2024","00000439","2"
"1062","2024","00003063","1"
"528","2024","00001765","1"
"1032","2024","00002458","2"
"1049","2024","00003018","1"
"3386","2024","00008321","1"
"3385","2024","00008315","1"
"3388","2024","00008325","1"
"3387","2024","00008323","2"
"1032","2024","00002458","1"
"3390","2024","00008331","1"
"1034","2024","00002974","1"
"972","2024","00002856","1"
"655","2024","00002085","1"
"1037","2024","00002982","1"
"3400","2024","00008350","2"
"1043","2024","00001668","1"
"752","2024","00002317","1"
"752","2024","00002317","2"
"1054","2024","00003041","1"
"3399","2024","00008347","1"
"1000","2024","00002908","1"
"3400","2024","00008350","1"
"1070","2024","00002371","1"
"1024","2024","00002958","1"
"3401","2024","00008352","1"
"3401","2024","00008352","2"
"1082","2024","00003095","1"
"1076","2024","00002484","1"
"1000","2024","00002908","3"
"1078","2024","00002496","1"
"3401","2024","00008352","3"
"3401","2024","00008352","4"
"1079","2024","00003085","1"
"3401","2024","00008352","5"
"1055","2024","00003043","1"
"3401","2024","00008352","6"
"3418","2024","00008380","1"
"1053","2024","00003037","1"
"1087","2024","00003107","1"
"1103","2024","00003183","1"
"1157","2024","00001432","3"
"1006","2024","00002930","1"
"1170","2024","00000786","1"
"1005","2024","00002926","1"
"982","2024","00002876","1"
"3406","2024","00008361","1"
"3407","2024","00008361","2"
"3409","2024","00008365","1"
"1311","2024","00003731","1"
"1088","2024","00003123","1"
"3421","2024","00008392","1"
"1149","2024","00001970","1"
"1111","2024","00003201","1"
"1145","2024","00003265","1"
"1106","2024","00001064","1"
"518","2024","00001749","2"
"1014","2024","00002938","1"
"957","2024","00002819","1"
"1068","2024","00003069","1"
"1060","2024","00003059","1"
"1000","2024","00002908","2"
"835","2024","00002500","1"
"377","2024","00001396","1"
"518","2024","00001749","1"
"518","2024","00001749","3"
"518","2024","00001749","4"
"1125","2024","00003225","1"
"1126","2024","00003225","2"
"1127","2024","00003225","3"
"1128","2024","00003225","4"
"3430","2024","00008400","1"
"448","2024","00001573","1"
"1133","2024","00003235","1"
"3432","2024","00008404","1"
"1370","2024","00003891","1"
"931","2024","00002736","1"
"981","2024","00002874","1"
"1105","2024","00003187","1"
"1105","2024","00003187","2"
"1139","2024","00003247","1"
"1119","2024","00003215","1"
"1362","2024","00003869","2"
"1368","2024","00003883","1"
"1388","2024","00003927","1"
"765","2024","00002339","1"
"1395","2024","00003943","1"
"765","2024","00002339","2"
"1379","2024","00003913","1"
"1379","2024","00003913","2"
"3434","2024","00002594","1"
"1375","2024","00003901","1"
"1371","2024","00003893","1"
"1383","2024","00003921","1"
"1061","2024","00003061","1"
"1071","2024","00003075","1"
"1114","2024","00003207","1"
"1114","2024","00003207","2"
"1024","2024","00002958","2"
"1052","2024","00003035","1"
"1084","2024","00003099","1"
"1101","2024","00003179","1"
"974","2024","00002860","1"
"996","2024","00002898","1"
"1050","2024","00003024","1"
"1144","2024","00003263","1"
"1094","2024","00003159","1"
"1091","2024","00003151","1"
"1092","2024","00003151","2"
"1042","2024","00003002","1"
"1042","2024","00003002","2"
"1096","2024","00003163","1"
"1035","2024","00002976","1"
"970","2024","00002848","1"
"1059","2024","00003053","1"
"1104","2024","00003185","1"
"1111","2024","00003201","2"
"975","2024","00002862","1"
"1408","2024","00003974","1"
"1051","2024","00003027","1"
"1149","2024","00001970","2"
"1402","2024","00003968","1"
"3440","2024","00008416","1"
"560","2024","00001839","1"
"1034","2024","00002974","2"
"1026","2024","00002964","1"
"519","2024","00001751","1"
"210","2024","00000867","1"
"1154","2024","00000366","1"
"1164","2024","00002928","1"
"1397","2024","00003947","1"
"1154","2024","00000366","2"
"1386","2024","00003925","1"
"1089","2024","00003137","1"
"1157","2024","00001432","1"
"1157","2024","00001432","2"
"1157","2024","00001432","4"
"1157","2024","00001432","5"
"1157","2024","00001432","6"
"1157","2024","00001432","7"
"1157","2024","00001432","8"
"1157","2024","00001432","9"
"1157","2024","00001432","10"
"1157","2024","00001432","11"
"1157","2024","00001432","12"
"1157","2024","00001432","13"
"1157","2024","00001432","14"
"1157","2024","00001432","15"
"1157","2024","00001432","16"
"1157","2024","00001432","17"
"1157","2024","00001432","18"
"1115","2024","00003209","1"
"1158","2024","00002912","1"
"1132","2024","00003233","1"
"1152","2024","00003283","1"
"1423","2024","00004005","1"
"1075","2024","00003079","1"
"1437","2024","00004033","1"
"1047","2024","00003008","1"
"1431","2024","00004021","1"
"1095","2024","00003161","1"
"1427","2024","00004015","1"
"1441","2024","00004041","1"
"5","2023","00000380","3"
"5","2023","00000380","4"
"4","2023","00000380","1"
"4","2023","00000380","2"
"8937","2024","00019522","1"
"8938","2024","00019524","1"
"677","2024","00002127","1"
"60","2024","00000011","1"
"8945","2024","00019550","1"
"240","2024","00000952","1"
"8939","2024","00019526","1"
"85","2024","00000238","1"
"181","2024","00000783","1"
"83","2024","00000168","1"
"8944","2024","00019548","1"
"97","2024","00000314","1"
"84","2024","00000232","1"
"330","2024","00001255","1"
"87","2024","00000220","1"
"150","2024","00000683","1"
"366","2024","00001343","1"
"912","2024","00002688","1"
"232","2023","00000624","1"
"104","2024","00000377","1"
"103","2024","00000368","1"
"116","2024","00000467","1"
"209","2024","00000863","1"
"314","2024","00001221","1"
"459","2024","00001596","1"
"8952","2024","00019566","1"
"510","2024","00001729","1"
"139","2024","00000074","1"
"137","2024","00000609","1"
"251","2024","00000976","1"
"265","2024","00001026","1"
"195","2024","00000827","1"
"628","2024","00002018","1"
"8943","2024","00019544","1"
